,0.6_4,0.6_24,0.6_72,3.0_4,3.0_24,3.0_72
Rv0001,,,,,,
Rv0002,,,,,,
Rv0003,,,,,,
Rv0004,,,,,,
Rv0005,,,,,,
Rv0006,,,,,,
Rv0007,,,,,,
Rv0008c,,,,,-1.08222211,
Rv0009,,,,,-1.94725121,
Rv0010c,,,,,,
Rv0011c,,,,,,
Rv0012,,,,,,
Rv0013,,,,,-1.44616052,
Rv0014c,,,,,,
Rv0015c,,,,,,
Rv0016c,,,,,,
Rv0017c,,,,,,
Rv0018c,,,,,,
Rv0019c,,,,,,
Rv0020c,,,,,,
Rv0021c,,,,,,
Rv0022c,,,,,,-2.011685859
Rv0023,,,,,,
Rv0024,,,,,,
Rv0025,,,,,,
Rv0026,,,,,-1.169236755,
Rv0027,,,,,,
Rv0028,,,,,,
Rv0029,,,,,,
Rv0030,,,,,,
Rv0032,,,-1.101952509,,,
Rv0033,,,-1.213241027,,,-1.40008196
Rv0034,,,-1.130365637,,-1.013257856,-1.471865959
Rv0035,,,-1.210397514,,,-1.712691118
Rv0036c,,,,,,
Rv0037c,,1.117095619,,,,
Rv0038,,,,,,
Rv0039c,,,,,,
Rv0040c,,,-1.752323677,,-1.40459357,-2.931088307
Rv0041,,,,,,
Rv0042c,,,,,-1.86987101,-1.232461241
Rv0043c,,,,,,
Rv0044c,,,,,-1.087738219,
Rv0045c,,,,,,1.403420951
Rv0046c,,,,,,
Rv0047c,,,,,,
Rv0048c,,,,,,
Rv0049,,,,,,
Rv0050,,,,,,
Rv0051,,,,,,
Rv0052,,,,,,
Rv0053,,-1.063696863,,,-1.457786534,
Rv0054,,,,,-1.430303533,
Rv0055,,,,,-1.229814474,
Rv0056,,,,,-1.307417187,
Rv0057,,-1.59120959,,,-1.939184693,
Rv0058,,,,,-1.832228619,-1.070329591
Rv0059,,,,,-1.769436897,-1.276483402
Rv0060,,,,,-1.52754505,
Rv0061c,,,,,,
Rv0062,,-1.239265795,,,-2.244331228,
Rv0063,,,,,-1.93485287,
Rv0064,,,,,,
Rv0064A,,,,,,
Rv0065,,,,,,
Rv0066c,,,,,,
Rv0067c,,,,,,
Rv0068,,1.07341926,,,,
Rv0069c,,,,,-1.381872599,-1.495698469
Rv0070c,,,,,-1.488968282,-1.36303109
Rv0071,,,,,-1.359310099,
Rv0072,,,,,-1.276745633,
Rv0073,,,,,,
Rv0074,,,,,,
Rv0075,,,,,,
Rv0076c,,,,,,
Rv0077c,,1.832891758,,,1.82886392,
Rv0078,,,,,-1.390563886,
Rv0078A,,,,,,
Rv0078B,,,,,,
Rv0079,,,-1.094014649,,-1.226220608,-3.435757822
Rv0080,,,,,,-1.48932762
Rv0081,,,,-1.001739125,-1.530475941,-2.65957381
Rv0082,,,,,-1.332013269,-2.191816025
Rv0083,,,,,,-1.26108861
Rv0084,,,,,,
Rv0085,,,,,,-1.04937894
Rv0086,,,,,,-1.145343731
Rv0087,,,,,,-1.032713357
Rv0088,,,,,-2.00953993,
Rv0089,,,,,-1.439355847,
Rv0090,,,,,-1.329634736,
Rv0091,,,,,,
Rv0092,,,,,,
Rv0093c,,,,,,
Rv0094c,,,,,-1.553336595,
Rv0095c,,,,,,
Rv0096,,,,,-1.102735477,
Rv0097,,,,,,
Rv0098,,,,,,
Rv0099,,,,,,
Rv0100,,,,,-1.224864593,
Rv0101,,,,,-1.282435976,
Rv0102,,,,,-1.551051146,
Rv0103c,,,,,,
Rv0104,,,-2.068995306,,,-2.009553898
