,0.7_4,0.7_24,0.7_72,3.7_4,3.7_24,3.7_72
Rv0001,,-1.307368381,-1.708314782,,-1.169134867,-1.965776415
Rv0002,,,,,,-2.012813107
Rv0003,,,,,,
Rv0004,-1.184569178,-1.238070899,,-1.674576599,-2.042222507,-1.739662409
Rv0005,,,,-1.918454182,-2.442424248,-1.550840582
Rv0006,-1.492721134,-1.026999286,,-3.880858333,-3.598215367,-2.0414991
Rv0007,-1.054758622,-1.025599861,,-1.612145812,-2.253688324,-2.007346959
Rv0008c,,,,,,
Rv0009,,,,-1.020052822,-1.913783759,-2.907057104
Rv0010c,,,,,-1.005426424,-1.394842553
Rv0011c,,,,,,-2.157377043
Rv0012,,,,,,
Rv0013,,,,,,
Rv0014c,-1.862348022,-1.905970244,-1.660211479,-3.06867854,-3.413946649,-2.890730834
Rv0015c,,-1.665063563,-1.279872518,-1.78162825,-2.467527871,-1.041280557
Rv0016c,-1.138494631,-1.551697621,-1.410222041,-1.935254201,-2.710652753,-2.046881021
Rv0017c,-1.761972762,-1.598920816,-1.700307741,-2.103537443,-2.705337772,-2.986727486
Rv0018c,,-1.041011128,,,-1.03944574,
Rv0019c,,,,,,
Rv0020c,,-1.085218048,,,-1.182571298,-1.394520784
Rv0021c,,-1.519202307,-1.615341296,,,
Rv0022c,,-1.94015023,-1.23901518,,-1.390943291,
Rv0023,,-1.716724313,-1.461022362,-1.556129383,-1.701413318,
Rv0024,,-1.811940989,-1.447592181,-1.79227975,-2.510376869,-1.218119605
Rv0025,,-1.245376808,-1.494061133,-1.266243553,-2.448884942,-2.081533487
Rv0026,,-1.033885376,,,-1.187947075,
Rv0027,,-1.011102408,-1.024375646,,-1.071824242,
Rv0028,,,,,,
Rv0029,,,,,,-1.532764105
Rv0030,,,,,,-1.507199666
Rv0032,,,-2.071114749,,,-1.508127115
Rv0033,,-1.165991457,-2.492410098,-1.012020876,,-2.199223899
Rv0034,,-1.165071736,-2.760329427,,-1.923303861,-3.094354815
Rv0035,,-1.5581476,-3.033792913,-2.152108792,-2.180361998,-3.080707262
Rv0036c,,,-1.009801425,,-1.65334093,-1.91599497
Rv0037c,,-1.097095249,-1.202307584,,,
Rv0038,,,-1.014858112,,-1.488755288,-1.845556536
Rv0039c,,-1.249377636,-1.590897445,,-1.870246789,-3.100612285
Rv0040c,,-2.353269916,-2.240584967,,-2.876221869,-3.553752517
Rv0041,,,,-1.355987556,-2.242933731,-1.808157422
Rv0042c,,-1.445050038,-1.568703584,-1.306895462,-2.739449105,-2.47268684
Rv0043c,,-1.244082505,,,,
Rv0044c,1.411853289,,,,,
Rv0045c,2.576868984,,1.008695812,1.549191859,2.183471634,
Rv0046c,2.546825834,,,1.833243949,1.97557605,
Rv0047c,,,,3.05494208,2.645660593,
Rv0048c,,-1.397866418,-1.383692224,,,-2.061697386
Rv0049,,-1.589969582,-1.483307199,-1.104999246,-1.44243934,
Rv0050,-2.279803728,-1.827552942,-1.719949213,-3.947597144,-4.70089423,-2.204286281
Rv0051,-2.25935389,-1.923092039,-1.717206556,-3.291614113,-5.207135711,-2.574661813
Rv0052,-1.731038249,-1.838367762,-1.956813043,-2.069200353,-3.751905623,-2.304753095
Rv0053,,,,2.503141462,1.863014398,
Rv0054,,,,2.701726846,,
Rv0055,,,,2.603143902,,
Rv0056,,,,2.064258554,1.023603125,
Rv0057,,,1.020572881,1.986170251,,
Rv0058,,-1.137523315,,,,-1.1745365
Rv0059,-1.780565046,-2.061054978,-1.811970501,-2.845406954,-1.991928359,-3.273093462
Rv0060,-1.532140744,-2.020579041,-2.033618733,-1.368044649,-2.657507538,-3.064793902
Rv0061c,,,,,,
Rv0062,,,,,,
