,0.4_4,0.4_24,0.4_72,1.0_4,1.0_24,1.0_72
Rv0001,,,-1.4272928362326653,,,-1.7824317673878898
Rv0002,,-1.3059560492780902,-1.5536093648514182,,-2.3657530270983016,-2.4252453522806596
Rv0003,-1.0203705558701157,,,,-1.895519617675304,-1.8656242489968844
Rv0004,,,,,-1.6879185880867038,-1.3288107361834873
Rv0005,,,,,,
Rv0006,,,,,,
Rv0007,,,,,,
Rv0008c,,,,,,
Rv0009,,-1.031149209453064,-1.2210494374696401,,-2.4023378787158958,-1.8730287763374525
Rv0010c,,,,,-1.6106612478386206,
Rv0011c,,,,,-1.9315389224288966,-1.6013509498944312
Rv0012,,,,,-1.370256436827302,
Rv0013,,,,,-1.3452774001456436,
Rv0014c,,,,,-1.254656499577021,
Rv0015c,,,,,-1.5009025669339429,
Rv0016c,,,,,-1.5138122021052842,-1.0776269249920432
Rv0017c,,,,-1.0935353625978301,-1.4037706279616275,-1.1060631420192069
Rv0018c,,,,,-1.2297218212327092,
Rv0019c,,,,,-1.2538044082949198,
Rv0020c,,,,,-1.5721364200850012,
Rv0021c,-1.1262527981761652,-1.2018078596280726,-1.2170248506960832,-1.2132256708767366,-2.0840181201733436,-2.0236580393218198
Rv0022c,,-1.1853545919063173,-1.6489370223219069,,-2.5687998241149668,-1.8620798282899973
Rv0023,-1.3577669848859628,-1.5957534307390433,-1.1238781727365783,-1.8980291105050056,-2.943621802395776,-2.3639711858803816
Rv0024,-1.0096873005991926,-1.4193567812441852,-1.0123095614219282,-1.548623732374724,-2.784636058752692,-2.3954524156285197
Rv0025,,-1.0061199451211376,-1.2385683135565655,,-2.4052661118308025,-1.936070678586106
Rv0026,,,,,-2.0295107899649047,-1.6683447037367172
Rv0027,,,,,,
Rv0028,,,,,,
Rv0029,,,,,,
Rv0030,-1.0927675233908025,,,,-1.1291803125833402,-1.2004482681124673
Rv0032,-1.0683086164757443,,-2.254111211494707,,-1.5705874980697905,-3.148910309240474
Rv0033,-1.6281666159246215,-1.7559450449543164,-2.7130627643439333,,-1.5076029631937722,-3.8399230336404093
Rv0034,,-1.2550650763630788,-2.7470185678950467,,-1.695137967194494,-3.7602583318512797
Rv0035,,-1.4442745684001494,-2.5250638328403716,,-1.1687804083439937,-3.104817080335734
Rv0036c,,,,,-1.7371133948202742,-1.0090373842297433
Rv0037c,,,,,,
Rv0038,-1.1037114062619549,,,-1.1548926878745993,,
Rv0039c,,-1.501970531318164,-2.302103494023482,,-2.909765701674294,-3.1947364419086197
Rv0040c,-1.5651848495360245,-2.28782433149944,-2.8808291919664137,-1.1914474772028605,-4.050464775054394,-4.460571017256052
Rv0041,-1.1545573712861092,,,,-1.2935291289010042,
Rv0042c,-1.1314528474825094,-1.23184875268393,-1.0179778748863284,-1.3269841868875394,-2.7693823035999903,-2.311878016281562
Rv0043c,,,,,-1.1847985192297774,
Rv0044c,,,,,-1.0119366338718918,
Rv0045c,,,,,,
Rv0046c,,,,,,-1.8367632177309385
Rv0047c,,,,,-1.0203705904168867,-1.6881032326636212
Rv0048c,,,,,-1.025323130736241,
Rv0049,,,,,-1.056489346718949,
Rv0050,,,,,,
Rv0051,,,,,,
Rv0052,,,,,,
Rv0053,,,,,-1.4900083087029707,
Rv0054,,,,,-1.6452571008034556,
Rv0055,,,,,-1.82787203813039,-1.5992080233273578
Rv0056,,,,,-1.8265179851077356,-1.3633253456096204
Rv0057,,,,,-1.4115225229925028,
Rv0058,,,-1.1224627668671467,,-1.7509476219926112,-1.916555606692644
Rv0059,,,-1.461526064771012,,-1.476280943768442,-2.047638479260187
Rv0060,-1.0928559573067125,,-1.2345920903807028,,-1.769653321421175,-1.8929166979547187
Rv0061c,,,,,-1.3742136708375816,
Rv0062,,-2.4404407897667793,-1.4112147955943137,-1.0438683876345187,-3.9672891288121845,-2.8056666310876457
Rv0063,,-1.4194844297516644,-1.0911986851925932,-1.0442784694841534,-3.5437225797185805,-2.7634525458218655
Rv0064,,,,,,
Rv0064A,-1.3981916267681411,,,-1.0048914718425541,,
Rv0065,,,,,,1.0405725247358921
Rv0066c,-1.14734273683316,,,,-1.5973457594405336,
Rv0067c,-1.086075050333146,,,,-1.670298145971024,-1.0221714971461673
Rv0068,-1.167950554174696,,-1.664694749591963,,-1.9457711189542084,-1.990790936079076
Rv0069c,,-1.8003571857708245,-2.1683227776695224,-1.0412912993942984,-3.144561695793843,-3.6365356183039284
Rv0070c,,-1.5568410267506763,-1.6656492544573778,,-2.8879574221881277,-3.4366737051257
Rv0071,,,,,-1.3626951337773203,
Rv0072,,,,-1.0792311417545724,-2.0270611840416217,-1.5288518268505906
Rv0073,-1.0135314045169415,,-1.0149450876043364,-1.1589210505096728,-1.9430514535184524,-1.7731760148366835
Rv0074,,,,,-1.3535094594099615,-1.2686615019396532
Rv0075,,,,,-1.1911185532224295,-1.07850754177437
Rv0076c,,,,,,-1.1059344488921607
Rv0077c,,,,,,
Rv0078,-1.4693436898517618,-1.7264989713115237,-1.444573093553434,-1.3526528770501371,-1.949259437464113,-2.1644940304048776
Rv0078A,,,,,,
Rv0078B,-1.650858616279356,,-1.0095706419694852,-1.3179265413314176,-1.2306554563311711,-1.1354608523245733
Rv0079,,-1.0210191071598353,,,-3.0303080337613237,-3.6310141899450232
Rv0080,,-1.0907725910219723,,-1.0148846741140338,-3.220492459563608,-1.9127871841657278
Rv0081,,-1.0562100494608366,,,-3.3217852643428873,-2.4979631154103394
Rv0082,-1.1215847120306155,-2.2938288435973924,,-1.1681997925206615,-3.388706224809315,-2.7536803308031943
Rv0083,-1.3069268695980516,-1.6292744409510949,,-1.2765976096420066,-2.7732158228329227,-1.9367492763917504
Rv0084,,,,,-1.6566893113957266,
Rv0085,,,,,-1.9091857189823072,-1.2470119814899892
Rv0086,,,,-1.2086355244983849,-1.967815262128463,-1.2519633066332396
Rv0087,,,,,-1.4073685433582779,-1.229791520258674
Rv0088,-1.562247002839946,,,,-1.6183322434771628,
Rv0089,-1.2233167104894664,,1.1618071915987687,,,
Rv0090,,,1.2291591663685213,,,
Rv0091,,,,,,
Rv0092,,,,,,
Rv0093c,,,,,-1.7517462088022984,-1.095396982510839
Rv0094c,,,,,-1.3297466790822012,
Rv0095c,-1.1844316372191057,-1.1176616476136672,-1.0228287150430035,,-2.2162476905361905,-1.8263986107851906
Rv0096,,,-1.9238889972877937,,,-1.9243682144401166
Rv0097,,,,,,-1.8097524575062496
Rv0098,-1.2248412331712977,,-1.104077256301913,,,-1.5037836488728833
Rv0099,,,,,,-1.3018092109521457
Rv0100,,,,,,-1.365087670001815
Rv0101,,,,,,-1.219928816752324
Rv0102,,,,-1.3577635802802972,-1.7390117634591225,
Rv0103c,,,,,-1.4213114953164963,
Rv0104,-1.072146419599694,,-3.1855021631600344,-1.0496339909720376,-1.6186516978394871,-3.7775165320559227
Rv0105c,-2.2450773048655224,-2.0446642602127634,-1.731013870939553,,-1.8907590925463933,-1.9733606218580466
Rv0106,,-1.0481894767132196,-1.9716895539290027,,-2.2527709055406393,-2.9499111183195588
Rv0107c,,-1.2577821225629207,-2.2659922262520653,,-2.2257153530605214,-2.8457179157702575
Rv0108c,,-2.022875682190776,-3.415218775151218,,-2.817501317789525,-4.5780018468218096
Rv0109,,-1.0729813790988632,-1.187724019405028,,-1.3372430332408571,-1.8136381298286317
Rv0110,-1.0978168887930955,-1.0805034475935387,-1.4678210608672257,-1.1441178274088157,-2.4393225915304133,-1.8810935929419053
Rv0111,,-1.2217428200851632,-1.1987516853061713,-1.1656094368810395,-2.823798528198732,-2.1197527831667102
Rv0112,,,-1.1216045590161823,,-1.4485373000153192,-1.4851005543190283
Rv0113,,,-1.396958237166126,,-1.2303736306271909,-1.6013542711992388
Rv0114,,,-1.1501732932918507,,-1.2393571237368937,-1.4597404113759644
Rv0115,,,-1.0506804698194019,,-1.2636061526190552,-1.3143934499756667
Rv0116c,,,,,,
Rv0117,,,,,-2.1622764814776163,-1.4913169090612535
Rv0118c,,-1.2194953787508227,-1.9731703386624435,,-2.0613211565752856,-2.806885788383324
Rv0119,,-1.415195701860104,-2.138553767818296,,-2.098305042954638,-3.1791020328107713
Rv0120c,,,-1.2141082770339175,,-1.3270347616068134,-1.7275208245002822
Rv0121c,-1.201618603292783,,,,,
Rv0122,-1.4742856337645043,,,,,
Rv0123,-1.1270414430250315,-1.214787956732232,,,-1.321864846765656,
Rv0124,,,,,,
Rv0125,,,,,-1.3671981776908986,-1.046707868883624
Rv0126,,,,,,
Rv0127,,,,,,
Rv0128,,,,,,
Rv0129c,-1.541830531201547,-1.1647537487681763,,,-3.2329150233204684,-2.891261562996378
Rv0130,-1.129533911619091,-1.4203300005901827,,,-2.98309512117158,-1.8997606553838702
Rv0131c,,,,,,
Rv0132c,,,,,,
Rv0133,,,-1.0351654118394942,-1.3269064133429922,-1.9744189217012156,-1.4145453355015436
Rv0134,,,,-1.4516586857513893,-2.1010236100725366,-1.479405067114485
Rv0135c,,,,,,
Rv0136,,,-1.6263687651555774,,,-1.7524388838479716
Rv0137c,,,,,,
Rv0138,,-1.1166232638544036,-1.4870398521109163,-1.2621206384934764,-2.4198382200939297,-2.0062244686459
Rv0139,,-1.5912736380136,-1.9038974298482776,-1.5322039192180097,-3.3138313632045695,-2.809683996382442
Rv0140,,,-1.098940724881698,,,-1.3257696612077958
Rv0141c,-1.1176414254051779,-1.2158826549524477,-1.643552771106307,-1.0915065242236741,-1.9414544127185498,-2.375307673685371
Rv0142,,,-1.4581946974594118,,,-1.3375712403092972
Rv0143c,,-1.4057405672902283,-1.6923676974209385,-1.63862900481459,-2.737749218966874,-2.386935912547708
Rv0144,,-1.022138155416204,-2.512239537932235,-1.0331368707918738,-2.346170862789535,-3.2147456315972143
Rv0145,,,-1.4616539498780328,,,-1.336122600116185
Rv0146,,,,,,
Rv0147,,,,,,
Rv0148,,,,,,
Rv0149,,,,,,
Rv0150c,,,,,,-1.0122094469060592
Rv0151c,,,,,,
Rv0152c,,,,,,
Rv0153c,,,,,,
Rv0154c,,,,,-1.1739340125643307,
Rv0155,-1.0628851422550036,-2.186395738080943,-1.4677314196107476,-1.4311403136896708,-3.6792534327345088,-3.0728343231758632
Rv0156,-1.2578379579290737,-2.3255174682235213,-1.8814513478513804,-1.5736820548876231,-3.964146560587596,-3.5341468056679894
Rv0157,-1.2654716689973782,-2.265207557225692,-1.8914202567278116,-1.7018202542986984,-3.854608668648915,-3.261074966280726
Rv0157A,-1.1071902677942165,,-1.5747182979195722,,,-2.1170415149110067
Rv0158,,-1.1272447628258448,-1.0367692779690691,,-1.902914585904639,-1.8415643244345663
Rv0159c,,-1.0691891954287016,,,-1.6944783452612104,-1.7450881907964424
Rv0160c,,,,,,
Rv0161,,-1.517433967304362,-1.157830911755922,-1.128749086260346,-2.370395243062481,-2.0193245831895177
Rv0162c,,-1.2680689821207851,-1.0721582755751211,-1.1290892474758378,-2.150166831348561,-1.6066367961108436
Rv0163,-1.089203381625078,-1.8701296673860148,-1.7616276437609568,-1.4415016205602593,-3.5702154244007147,-2.806183734770243
Rv0164,,-1.2016153890309536,-1.1419270583249417,,-2.8004547504488135,-2.178830124105689
Rv0165c,-1.4262670110391922,-1.6010869830472434,-3.9358315454580035,-1.5766423308565474,-2.9292004194359698,-6.031656440546552
Rv0166,,,-4.1001249434001235,,-2.3707764220688476,-5.154233965068677
Rv0167,,,-3.0756061038054314,,-1.8608837494073804,-3.97918766191625
Rv0168,,,-2.617947115844802,,-1.7418747694557446,-3.5286553252917443
Rv0169,,-1.2444112919991446,-3.170429650689722,,-1.8169346374301436,-4.099499984840222
Rv0170,,-1.1607943410812955,-2.8829978726396064,,-1.390293674450193,-3.729782407971756
Rv0171,-1.1024126544105328,-1.7892621027398097,-3.347974955388286,,-2.035229929082153,-4.374774938018876
Rv0172,,-1.5160808560598715,-3.2116997179596405,,-1.6353157657465456,-4.066348590881888
Rv0173,,-1.3279568384849396,-3.037523541755442,,-1.605360326078016,-3.949656685923856
Rv0174,,-1.1265679565868252,-2.713559447385979,,-1.839548365702401,-3.5021412261180895
Rv0175,,,,,-1.5026246377038017,-1.4905492139865446
Rv0176,,,,,-1.2247373209114412,-1.050289957754125
Rv0177,,,,-1.0232730786443898,-1.4955886265357146,-1.1497093361122181
Rv0178,,,,,-1.1985877577984225,-1.1752262819347123
Rv0179c,-1.775714449074356,-1.507152378190063,-1.4914787085161314,-1.403036240830086,-2.7942316061925596,-2.5686536020358295
Rv0180c,-1.0722964435751439,,,-1.0163503127750195,-1.0132160934671783,
Rv0181c,-1.195296815464413,,,-1.4944654524495882,,
Rv0182c,,,,-1.2288902941813167,,
Rv0183,-1.1773649012008827,-1.786509448150321,-1.357155013960147,-1.8153376895948727,-3.788880467040712,-2.8135137177467855
Rv0184,-1.22154486011769,-1.4226917373849608,-1.2740172704809043,-1.6132359474101707,-3.091184597650884,-2.462921545237048
Rv0185,-1.0685490628548064,-1.0415345747164153,-1.133282169987106,-1.5716121830273462,-2.9269233155096694,-2.137899614226377
Rv0186,-1.1804594482243804,-1.0369749207067283,,-1.6723154325385026,-2.789857837062509,-1.8334158141094914
Rv0186A,-1.8261639376466068,-2.299663832020649,,-1.3566194357589065,-1.5654345962686693,
Rv0187,-1.1507064339457407,-1.111348103809668,,-1.2965313715249622,-2.154331171677048,-1.454970371587508
Rv0188,,,-1.4958141485759135,,-1.0956308165178255,-2.297639680698128
Rv0189c,,,,-1.0934511294076064,-1.6893240622187142,-1.4050235066900103
Rv0190,-1.734021932718088,,,-1.1082885809114105,,
Rv0191,,,,,,
Rv0192,,,,,,
Rv0193c,-1.1731686821023268,,-1.802160965443158,,-1.3745201644366754,-2.6341969110109935
Rv0194,,,,,,
Rv0195,,,,,,
Rv0196,,,2.269213360341154,,,3.28659375575592
Rv0197,,,2.41914903312244,,,3.3025205132391395
Rv0198c,,,,,-1.4758042399232711,
Rv0199,-1.0140979091671922,-1.1665883359145175,,-1.3468205359357668,-2.985363358539278,-1.807407289346263
