Sample_ID,Drug treatment,Treatment time (hrs.),xMIC,Concentration (ug/ml)
T4_BDQ_5x_A_READS,BDQ,4,5,5.75
T4_BDQ_5x_B_READS,BDQ,4,5,5.75
T4_BDQ_5x_C_READS,BDQ,4,5,5.75
T24_BDQ_5x_A_READS,BDQ,24,5,5.75
T24_BDQ_5x_B_READS,BDQ,24,5,5.75
T24_BDQ_5x_C_READS,BDQ,24,5,5.75
T72_BDQ_5x_A_READS,BDQ,72,5,5.75
T72_BDQ_5x_B_READS,BDQ,72,5,5.75
T72_BDQ_5x_C_READS,BDQ,72,5,5.75
T4_BDQ_10x_A_READS,BDQ,4,10,11.5
T4_BDQ_10x_B_READS,BDQ,4,10,11.5
T4_BDQ_10x_C_READS,BDQ,4,10,11.5
T24_BDQ_10x_A_READS,BDQ,24,10,11.5
T24_BDQ_10x_B_READS,BDQ,24,10,11.5
T24_BDQ_10x_C_READS,BDQ,24,10,11.5
T72_BDQ_10x_A_READS,BDQ,72,10,11.5
T72_BDQ_10x_B_READS,BDQ,72,10,11.5
T72_BDQ_10x_C_READS,BDQ,72,10,11.5
T4_CFZ_halfx_A_READS,CFZ,4,0.2,0.73
T4_CFZ_halfx_B_READS,CFZ,4,0.2,0.73
T4_CFZ_halfx_C_READS,CFZ,4,0.2,0.73
T24_CFZ_halfx_A_READS,CFZ,24,0.2,0.73
T24_CFZ_halfx_B_READS,CFZ,24,0.2,0.73
T24_CFZ_halfx_C_READS,CFZ,24,0.2,0.73
T72_CFZ_halfx_A_READS,CFZ,72,0.2,0.73
T72_CFZ_halfx_B_READS,CFZ,72,0.2,0.73
T72_CFZ_halfx_C_READS,CFZ,72,0.2,0.73
T4_CFZ_1x_A_READS,CFZ,4,1,3.65
T4_CFZ_1x_B_READS,CFZ,4,1,3.65
T4_CFZ_1x_C_READS,CFZ,4,1,3.65
T24_CFZ_1x_A_READS,CFZ,24,1,3.65
T24_CFZ_1x_B_READS,CFZ,24,1,3.65
T24_CFZ_1x_C_READS,CFZ,24,1,3.65
T72_CFZ_1x_A_READS,CFZ,72,1,3.65
T72_CFZ_1x_B_READS,CFZ,72,1,3.65
T72_CFZ_1x_C_READS,CFZ,72,1,3.65
T4_INH_2x_A_READS,INH,4,2,0.36
T4_INH_2x_B_READS,INH,4,2,0.36
T4_INH_2x_C_READS,INH,4,2,0.36
T24_INH_2x_A_READS,INH,24,2,0.36
T24_INH_2x_B_READS,INH,24,2,0.36
T24_INH_2x_C_READS,INH,24,2,0.36
T72_INH_2x_A_READS,INH,72,2,0.36
T72_INH_2x_B_READS,INH,72,2,0.36
T72_INH_2x_C_READS,INH,72,2,0.36
T4_INH_10x_A_READS,INH,4,10,1.8
T4_INH_10x_B_READS,INH,4,10,1.8
T4_INH_10x_C_READS,INH,4,10,1.8
T24_INH_10x_A_READS,INH,24,10,1.8
T24_INH_10x_B_READS,INH,24,10,1.8
T24_INH_10x_C_READS,INH,24,10,1.8
T72_INH_10x_A_READS,INH,72,10,1.8
T72_INH_10x_B_READS,INH,72,10,1.8
T72_INH_10x_C_READS,INH,72,10,1.8
T4_LZD_1x_A_READS,LZD,4,1,0.84
T4_LZD_1x_B_READS,LZD,4,1,0.84
T4_LZD_1x_C_READS,LZD,4,1,0.84
T24_LZD_1x_A_READS,LZD,24,1,0.84
T24_LZD_1x_B_READS,LZD,24,1,0.84
T24_LZD_1x_C_READS,LZD,24,1,0.84
T72_LZD_1x_A_READS,LZD,72,1,0.84
T72_LZD_1x_B_READS,LZD,72,1,0.84
T72_LZD_1x_C_READS,LZD,72,1,0.84
T4_LZD_5x_A_READS,LZD,4,5,4.2
T4_LZD_5x_B_READS,LZD,4,5,4.2
T4_LZD_5x_C_READS,LZD,4,5,4.2
T24_LZD_5x_A_READS,LZD,24,5,4.2
T24_LZD_5x_B_READS,LZD,24,5,4.2
T24_LZD_5x_C_READS,LZD,24,5,4.2
T72_LZD_5x_A_READS,LZD,72,5,4.2
T72_LZD_5x_B_READS,LZD,72,5,4.2
T72_LZD_5x_C_READS,LZD,72,5,4.2
T4_MXF_0.4x_A_READS,MXF,4,0.4,0.12
T4_MXF_0.4x_B_READS,MXF,4,0.4,0.12
T4_MXF_0.4x_C_READS,MXF,4,0.4,0.12
T24_MXF_0.4x_A_READS,MXF,24,0.4,0.12
T24_MXF_0.4x_B_READS,MXF,24,0.4,0.12
T24_MXF_0.4x_C_READS,MXF,24,0.4,0.12
T72_MXF_0.4x_A_READS,MXF,72,0.4,0.12
T72_MXF_0.4x_B_READS,MXF,72,0.4,0.12
T72_MXF_0.4x_C_READS,MXF,72,0.4,0.12
T4_MXF_1x_A_READS,MXF,4,1,0.3
T4_MXF_1x_B_READS,MXF,4,1,0.3
T4_MXF_1x_C_READS,MXF,4,1,0.3
T24_MXF_1x_A_READS,MXF,24,1,0.3
T24_MXF_1x_B_READS,MXF,24,1,0.3
T24_MXF_1x_C_READS,MXF,24,1,0.3
T72_MXF_1x_A_READS,MXF,72,1,0.3
T72_MXF_1x_B_READS,MXF,72,1,0.3
T72_MXF_1x_C_READS,MXF,72,1,0.3
T4_PA824_1x_A_READS,PA824,4,1,0.3
T4_PA824_1x_B_READS,PA824,4,1,0.3
T4_PA824_1x_C_READS,PA824,4,1,0.3
T24_PA824_1x_A_READS,PA824,24,1,0.3
T24_PA824_1x_B_READS,PA824,24,1,0.3
T24_PA824_1x_C_READS,PA824,24,1,0.3
T72_PA824_1x_A_READS,PA824,72,1,0.3
T72_PA824_1x_B_READS,PA824,72,1,0.3
T72_PA824_1x_C_READS,PA824,72,1,0.3
T4_PA824_5x_A_READS,PA824,4,5,0.7
T4_PA824_5x_B_READS,PA824,4,5,0.7
T4_PA824_5x_C_READS,PA824,4,5,0.7
T24_PA824_5x_A_READS,PA824,24,5,0.7
T24_PA824_5x_B_READS,PA824,24,5,0.7
T24_PA824_5x_C_READS,PA824,24,5,0.7
T72_PA824_5x_A_READS,PA824,72,5,0.7
T72_PA824_5x_B_READS,PA824,72,5,0.7
T72_PA824_5x_C_READS,PA824,72,5,0.7
T4_POA_10x_A_READS,POA,4,10,3.5
T4_POA_10x_B_READS,POA,4,10,3.5
T4_POA_10x_C_READS,POA,4,10,3.5
T24_POA_10x_A_READS,POA,24,10,3.5
T24_POA_10x_B_READS,POA,24,10,3.5
T24_POA_10x_C_READS,POA,24,10,3.5
T72_POA_10x_A_READS,POA,72,10,3.5
T72_POA_10x_B_READS,POA,72,10,3.5
T72_POA_10x_C_READS,POA,72,10,3.5
T4_RIF_0.4x_A_READS,RIF,4,0.4,0.008
T4_RIF_0.4x_B_READS,RIF,4,0.4,0.008
T4_RIF_0.4x_C_READS,RIF,4,0.4,0.008
T24_RIF_0.4x_A_READS,RIF,24,0.4,0.008
T24_RIF_0.4x_B_READS,RIF,24,0.4,0.008
T24_RIF_0.4x_C_READS,RIF,24,0.4,0.008
T72_RIF_0.4x_A_READS,RIF,72,0.4,0.008
T72_RIF_0.4x_B_READS,RIF,72,0.4,0.008
T72_RIF_0.4x_C_READS,RIF,72,0.4,0.008
T4_RIF_1x_A_READS,RIF,4,1,0.02
T4_RIF_1x_B_READS,RIF,4,1,0.02
T4_RIF_1x_C_READS,RIF,4,1,0.02
T24_RIF_1x_A_READS,RIF,24,1,0.02
T24_RIF_1x_B_READS,RIF,24,1,0.02
T24_RIF_1x_C_READS,RIF,24,1,0.02
T72_RIF_1x_A_READS,RIF,72,1,0.02
T72_RIF_1x_B_READS,RIF,72,1,0.02
T72_RIF_1x_C_READS,RIF,72,1,0.02
T0_A_READS,BDQ,0,0,0
T0_B_READS,BDQ,0,0,0
T0_C_READS,BDQ,0,0,0
T0_A_READS.1,CFZ,0,0,0
T0_B_READS.1,CFZ,0,0,0
T0_C_READS.1,CFZ,0,0,0
T0_A_READS.2,LZD,0,0,0
T0_B_READS.2,LZD,0,0,0
T0_C_READS.2,LZD,0,0,0
T0_A_READS.3,MXF,0,0,0
T0_B_READS.3,MXF,0,0,0
T0_C_READS.3,MXF,0,0,0
T0_A_READS.1,PA824,0,0,0
T0_B_READS.1,PA824,0,0,0
T0_C_READS.1,PA824,0,0,0
T0_A_READS.2,POA,0,0,0
T0_B_READS.2,POA,0,0,0
T0_C_READS.2,POA,0,0,0
T0_A_READS.3,RIF,0,0,0
T0_B_READS.3,RIF,0,0,0
T0_C_READS.3,RIF,0,0,0
T4_0x_A_READS,BDQ,4,0,0
T4_0x_B_READS,BDQ,4,0,0
T4_0x_C_READS,BDQ,4,0,0
T4_CFZ_0x_A_READS,CFZ,4,0,0
T4_CFZ_0x_B_READS,CFZ,4,0,0
T4_CFZ_0x_C_READS,CFZ,4,0,0
T4_LZD_0x_A_READS,LZD,4,0,0
T4_LZD_0x_B_READS,LZD,4,0,0
T4_LZD_0x_C_READS,LZD,4,0,0
T4_A_READS,MXF,4,0,0
T4_B_READS,MXF,4,0,0
T4_C_READS,MXF,4,0,0
T4_0x_A_READS.1,PA824,4,0,0
T4_0x_B_READS.1,PA824,4,0,0
T4_0x_C_READS.1,PA824,4,0,0
T4_0x_A_READS,POA,4,0,0
T4_0x_B_READS,POA,4,0,0
T4_0x_C_READS,POA,4,0,0
T4_CFZ_0x_A_READS,RIF,4,0,0
T4_CFZ_0x_B_READS,RIF,4,0,0
T4_CFZ_0x_C_READS,RIF,4,0,0
T24_0x_A_READS,BDQ,24,0,0
T24_0x_B_READS,BDQ,24,0,0
T24_0x_C_READS,BDQ,24,0,0
T24_CFZ_0x_A_READS,CFZ,24,0,0
T24_CFZ_0x_B_READS,CFZ,24,0,0
T24_CFZ_0x_C_READS,CFZ,24,0,0
T24_LZD_0x_A_READS,LZD,24,0,0
T24_LZD_0x_B_READS,LZD,24,0,0
T24_LZD_0x_C_READS,LZD,24,0,0
T24_A_READS,MXF,24,0,0
T24_B_READS,MXF,24,0,0
T24_C_READS,MXF,24,0,0
T24_0x_A_READS.1,PA824,24,0,0
T24_0x_B_READS.1,PA824,24,0,0
T24_0x_C_READS.1,PA824,24,0,0
T24_0x_A_READS,POA,24,0,0
T24_0x_B_READS,POA,24,0,0
T24_0x_C_READS,POA,24,0,0
T24_CFZ_0x_A_READS,RIF,24,0,0
T24_CFZ_0x_B_READS,RIF,24,0,0
T24_CFZ_0x_C_READS,RIF,24,0,0
T72_0x_A_READS,BDQ,72,0,0
T72_0x_B_READS,BDQ,72,0,0
T72_0x_C_READS,BDQ,72,0,0
T72_CFZ_0x_A_READS,CFZ,72,0,0
T72_CFZ_0x_B_READS,CFZ,72,0,0
T72_CFZ_0x_C_READS,CFZ,72,0,0
T72_A_READS,LZD,72,0,0
T72_B_READS,LZD,72,0,0
T72_C_READS,LZD,72,0,0
T72_0x_A_READS.1,MXF,72,0,0
T72_0x_B_READS.1,MXF,72,0,0
T72_0x_C_READS.1,MXF,72,0,0
T72_LZD_0x_A_READS,PA824,72,0,0
T72_LZD_0x_B_READS,PA824,72,0,0
T72_LZD_0x_C_READS,PA824,72,0,0
T72_0x_A_READS,POA,72,0,0
T72_0x_B_READS,POA,72,0,0
T72_0x_C_READS,POA,72,0,0
T72_CFZ_0x_A_READS,RIF,72,0,0
T72_CFZ_0x_B_READS,RIF,72,0,0
T72_CFZ_0x_C_READS,RIF,72,0,0
